Improved water sources,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,Congo Dem. Rep.,Congo Rep.,Cook Is,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Is (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,"United Korea (former)
",Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao China,Macedonia FYR,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia Fed. Sts.,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Ngorno-Karabakh,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,St. Barthélemy,St. Helena,St. Kitts and Nevis,St. Lucia,St. Martin,St. Vincent and the Grenadines,St.-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),North Yemen (former),South Yemen (former),Yemen,Yugoslavia,Zambia,Zimbabwe
1990,,,,97,94,,100,42,,,94,,100,100,100,70,,,77,100,100,100,74,57,,,70,97,93,89,98,,100,43,70,31,49,100,,,58,39,,90,67,,,89,87,45,,94,93,76,99,82,100,100,,100,78,,88,,72,93,74,,43,,98,14,,,84,100,100,,100,,74,81,100,53,,96,100,,,100,81,,51,36,,59,,76,,96,100,69,70,90,81,100,,100,100,93,100,,97,96,44,48,100,,,,99,,,99,100,80,,54,,,100,,100,29,41,88,93,28,100,95,,30,99,,85,89,,100,54,97,100,73,36,56,64,98,76,100,,,100,,74,35,47,100,,,98,100,80,85,80,84,41,52,75,85,,,96,,100,,75,93,66,,,99,94,,,,89,,,89,61,99,,,,38,100,100,100,,,,83,,100,67,65,,,39,100,100,86,,,55,86,,49,90,100,,88,81,85,,100,90,43,,100,100,99,96,,90,,62,90,,,,57,,,,67,,49,79
1991,,2,,97,94,,100,42,,,94,,100,100,100,70,,,77,100,100,100,75,58,,,71,97,93,89,98,,100,43,70,31,51,100,,,58,41,,91,68,,,89,88,45,,94,93,76,99,83,100,100,,100,78,,88,,74,94,74,,43,,98,15,,,84,100,100,,100,,76,81,100,55,,97,100,,,100,82,,53,37,,59,,77,,96,100,71,71,90,81,100,,100,100,93,100,,97,96,45,49,100,90,,,99,78,,99,100,80,,54,,,100,,100,29,43,89,93,30,100,95,,31,99,,85,89,,100,54,97,100,73,36,56,66,98,77,100,,,100,,74,35,48,100,,,98,100,80,85,80,85,40,54,76,85,,,96,,100,,76,93,66,,,99,94,,,,89,,,89,61,99,,,,40,100,100,100,,,,83,,100,69,64,,,39,100,100,86,,,55,87,,49,90,100,,89,82,86,,100,90,44,,100,100,99,96,,90,,63,90,97,,,60,,,,66,,49,79
1992,,2,,98,94,,100,42,60,91,95,90,100,100,100,70,96,,77,100,100,100,76,59,,,72,97,94,90,98,,100,45,70,32,52,100,80,,58,41,,91,70,,,89,88,45,,94,93,76,99,84,100,100,,100,78,,88,,75,94,76,,43,,98,15,,,85,100,100,84,100,,76,81,100,57,,97,100,94,98,100,83,,53,38,,60,,77,,96,100,72,72,90,81,100,,100,100,93,100,,97,96,45,50,100,90,,,99,78,,99,100,81,,54,,,100,,100,30,46,90,93,32,100,95,,32,99,,85,89,93,100,54,98,100,74,37,56,68,98,77,100,,,100,,75,36,49,100,,,98,100,80,86,80,85,40,57,76,86,,,96,,100,,77,94,66,,,99,94,,,,90,,,90,62,99,,,,40,100,100,100,,,,83,,100,70,64,,,39,100,100,86,,,55,88,,50,90,100,,89,83,87,,100,90,46,,100,100,99,96,,90,,65,91,97,,,61,,,,65,,49,80
1993,,2,,98,95,,100,42,60,91,95,90,100,100,100,70,96,,78,100,100,100,77,60,,,74,97,94,90,98,,100,47,70,32,54,100,80,93,59,41,,92,71,,,90,88,45,,94,93,76,99,85,100,100,,100,78,,88,,77,94,76,,43,,98,17,,,86,100,100,84,100,,77,81,100,59,,97,100,94,98,100,83,,55,40,,60,,77,,97,100,73,72,91,81,100,,100,100,93,100,,96,96,46,52,100,90,,,99,78,,99,100,81,,54,,,100,,100,32,48,91,93,33,100,95,,34,99,,87,89,93,100,54,98,100,75,37,56,69,98,78,100,,,100,,76,37,50,100,,,98,100,81,86,80,86,40,59,77,86,,,96,,100,,78,94,66,,,99,94,,,,90,,,90,62,99,,,,41,100,100,100,69,19,,83,,100,71,64,,,39,100,100,86,,62,55,88,,51,90,100,,89,84,87,,100,91,47,,100,100,99,96,,90,,66,91,97,,,63,,,,65,,50,80
1994,,2,,98,94,,100,43,60,91,95,90,100,100,100,70,96,,78,100,100,100,79,61,,,74,97,94,91,98,,100,49,71,32,56,100,80,93,60,42,,92,73,,,90,89,45,,94,94,77,99,85,100,100,,100,78,,88,,78,94,77,51,45,,98,19,,,87,100,100,84,100,83,78,81,100,61,,98,100,94,98,100,84,,56,41,88,60,,78,,97,100,75,73,91,80,100,,100,100,93,100,,96,96,47,53,100,90,,,99,78,39,99,100,81,58,54,,,100,,100,33,50,91,93,35,100,95,,35,99,,87,90,93,100,54,98,100,75,38,57,71,98,79,100,,,100,,76,37,50,100,,,98,100,81,86,80,86,40,61,77,86,,,97,,100,,79,94,66,,,99,94,,,,91,,75,90,62,99,,,,42,100,100,100,69,19,,83,,100,72,63,88,,41,100,100,86,,62,55,88,,51,90,100,,89,85,88,83,100,91,49,97,100,100,99,96,,90,,68,91,97,,,65,,,,64,,51,79
1995,,2,,98,93,,100,43,60,91,95,90,100,100,100,71,96,,78,100,100,100,80,62,,,76,97,94,91,98,,100,51,71,34,57,100,80,93,60,42,,92,74,,,90,90,44,,94,94,77,99,86,100,100,,100,79,95,88,,79,94,78,51,46,,98,20,,,88,100,100,84,100,84,79,82,100,62,,98,100,94,98,100,84,,58,43,88,60,,79,,97,100,75,74,91,80,100,,100,100,93,100,,96,96,48,54,100,90,,,99,78,39,99,100,80,58,54,,,100,,100,33,52,92,93,37,100,95,,36,99,,88,90,93,100,56,98,100,76,38,59,73,98,80,100,,,100,,77,39,50,100,,,98,100,81,87,80,87,40,64,78,87,,,97,,100,,80,94,66,,,99,94,,,,91,,75,90,63,99,,,,42,100,100,100,69,19,,84,,100,73,63,88,,43,100,100,87,,62,55,89,52,52,91,100,,90,86,89,83,100,92,50,97,100,100,99,96,,90,,69,91,97,,,67,,,,63,,51,79
1996,,6,,98,92,,100,44,60,91,96,90,100,100,100,72,96,,78,100,100,100,81,63,,,76,97,94,92,98,,100,52,71,36,58,100,80,93,60,43,,93,75,,,90,90,44,,94,94,77,99,87,100,100,,100,79,95,88,,80,95,79,51,47,,98,22,,,89,100,100,84,100,84,80,84,100,64,,98,100,94,98,100,85,,59,45,88,61,,80,,98,100,76,75,92,80,100,,100,100,93,100,,97,96,49,56,100,91,,,99,78,40,99,100,80,58,54,,,100,,100,34,54,94,94,39,100,95,,36,99,,88,90,93,100,57,98,100,76,39,61,75,98,80,100,,,100,,78,39,51,100,,,98,100,82,87,81,88,40,65,78,87,,,97,,100,,81,94,66,,,99,94,,,,91,,75,90,64,99,,,,43,100,100,100,69,19,,85,,100,75,63,89,,45,100,100,86,,61,54,90,52,52,91,100,,90,86,90,83,100,92,52,97,100,100,99,97,,90,,70,91,96,,,69,,,,63,,51,79
1997,,10,,98,91,,100,44,60,91,96,90,100,100,100,72,96,,78,100,100,100,83,63,,86,77,97,94,92,98,,100,54,71,38,60,100,82,93,61,44,,93,76,,,90,91,44,70,94,94,77,99,87,100,100,,100,80,95,88,,82,95,80,51,49,,98,24,,,90,100,100,84,100,85,81,85,100,66,,98,100,94,98,100,86,,60,46,88,61,,80,,98,100,78,76,92,80,100,,100,100,93,100,,97,96,49,57,100,91,,,99,79,40,99,100,80,58,54,,92,100,,100,35,57,94,94,40,100,95,,37,99,,89,91,93,100,59,98,100,77,40,62,76,98,81,100,,,100,,78,40,52,100,,,98,100,82,88,82,89,40,68,79,87,,,98,,100,,82,95,66,,,99,95,,,,91,,75,90,64,99,,,,44,100,100,100,69,19,,85,,100,76,63,89,,46,100,100,87,,61,54,90,52,53,92,100,,90,88,90,83,100,93,53,97,100,100,99,97,,89,,72,92,95,,,71,,,,62,,52,79
1998,,14,,98,91,,100,45,60,91,96,91,100,100,100,72,96,,78,100,100,100,84,65,,86,78,97,95,93,98,,100,56,71,40,61,100,82,93,62,44,,94,78,,,90,91,44,70,95,94,77,99,88,100,100,,100,81,95,87,,83,96,81,51,50,,98,25,,,91,100,100,84,100,85,82,87,100,67,,98,100,94,98,100,86,,61,48,88,62,,81,,98,100,79,76,93,81,100,,100,100,93,100,,97,96,50,59,100,93,,,99,80,41,99,100,80,59,54,,92,100,,100,36,59,95,95,42,100,95,,38,99,,89,92,93,100,61,98,100,77,41,64,78,98,82,100,,,100,,78,40,52,100,,,98,100,83,88,82,90,40,69,79,88,,,98,,100,,82,95,66,,,99,95,,,,91,,75,90,65,99,,,,45,100,100,100,69,20,,85,,100,77,62,89,,49,100,100,87,,62,54,90,52,54,92,100,,91,88,91,83,100,93,55,97,100,100,99,98,,89,,73,92,94,,,73,,,,61,,53,80
1999,,18,,98,90,,100,45,60,91,96,92,100,100,100,73,96,,79,100,100,100,85,66,,86,79,97,95,94,98,,100,58,72,42,63,100,82,93,62,44,,94,79,,,90,92,44,70,95,95,77,99,88,100,100,,100,82,95,87,,84,96,82,51,52,,98,27,,,92,100,100,84,100,85,82,87,100,69,,99,100,94,98,100,87,,62,49,89,62,,81,,98,100,80,77,93,80,100,,100,100,93,100,,96,95,51,60,100,93,,,99,81,43,99,100,79,59,54,,92,100,,100,37,61,96,95,44,100,95,,39,99,,90,92,93,100,63,98,100,78,41,65,79,98,82,100,,,100,,80,42,53,100,,,98,100,83,88,83,90,39,72,79,88,,,99,,100,,83,95,66,,,99,95,,,,92,,77,90,65,99,,,,45,100,100,100,69,21,,86,,100,78,62,89,,50,100,100,87,,62,54,91,52,55,93,100,,91,89,92,83,100,94,56,96,100,100,99,98,,89,,75,92,93,,,75,,,,61,,53,80
2000,,22,,98,89,,100,46,60,91,96,92,100,100,100,74,96,,79,100,100,100,86,66,,86,80,97,95,94,98,,100,60,72,44,64,100,83,93,63,45,,94,80,,,91,92,44,70,95,95,77,99,90,100,100,,100,82,95,87,,86,96,82,51,54,,98,29,,,93,100,100,84,100,85,83,89,100,71,,99,100,94,98,100,87,,63,50,89,62,,82,,99,100,81,78,93,80,100,,100,100,93,100,,96,96,52,62,100,93,,,99,82,45,99,100,80,61,54,,92,100,,100,38,62,97,95,46,100,95,,40,99,,90,92,93,100,65,98,100,78,42,67,81,98,83,100,,,100,,80,42,53,100,,,98,100,83,89,83,90,39,74,81,89,,,99,,100,,84,95,66,,,99,95,,,,92,,79,,66,99,,,,46,100,100,100,70,22,,86,,100,80,62,89,,52,100,100,87,,61,54,92,54,55,93,100,,91,90,93,83,100,94,58,97,100,100,99,98,,89,,76,92,92,,,77,,,,60,,54,80
2001,,26,,98,88,,100,46,60,91,96,93,100,100,100,75,96,,79,100,100,100,88,67,,86,80,98,95,94,98,,100,62,72,46,65,100,83,94,63,46,,95,82,,,91,92,44,71,95,95,78,99,90,100,100,,100,83,95,87,,87,96,83,51,55,,98,30,,,93,100,100,84,100,86,84,90,100,73,,99,100,94,98,100,88,,64,52,90,63,,83,,100,100,82,78,94,79,100,,100,100,93,100,,96,95,52,62,100,94,,,99,83,48,99,100,80,62,54,,92,100,,100,39,64,97,96,47,100,95,,42,99,,91,93,94,100,67,98,100,78,42,69,82,97,84,100,,,100,,80,43,54,100,,,98,100,84,89,84,91,39,76,81,89,,,99,,100,,85,95,66,,,99,95,,,,93,,80,,67,99,,,,47,100,100,100,70,22,,87,,100,81,61,90,,54,100,100,88,,62,54,92,55,56,94,100,,92,91,94,84,100,94,59,97,100,100,99,98,,89,,77,92,92,,,79,,,,59,,55,80
2002,,30,,97,88,,100,47,60,91,96,94,100,100,100,75,96,,80,100,100,100,89,68,,87,81,98,95,94,98,,100,64,71,48,67,100,84,94,64,46,,95,83,,,91,93,44,71,95,95,78,99,91,100,100,,100,84,95,87,,88,97,84,51,57,,98,32,,,94,100,100,84,100,86,85,92,100,74,,100,100,94,98,100,89,,66,53,90,64,,83,,100,100,83,78,94,80,100,,100,100,93,100,,96,96,53,63,100,94,,,99,84,50,99,100,79,63,,,92,100,,100,40,67,98,96,49,100,95,,42,99,,91,94,94,100,69,98,100,79,43,70,84,96,85,100,,,100,,81,44,55,100,,,98,100,84,89,84,91,39,78,81,89,,,99,,100,,86,95,67,,,99,95,,,,93,,81,,67,99,,,,48,100,100,100,70,24,,87,,100,82,61,90,,56,100,100,88,,62,54,93,56,56,94,100,,92,92,95,84,100,95,61,97,100,100,99,98,,89,,79,92,91,,,81,,,,59,,55,80
2003,,33,,97,87,,100,47,60,91,96,94,100,100,100,76,96,,80,100,100,100,90,68,,89,83,98,95,95,98,,100,66,72,50,68,100,84,94,64,47,,95,84,,,91,93,44,71,95,95,78,99,91,100,100,,100,84,95,87,,90,97,84,51,58,,98,34,,,95,100,100,84,100,86,86,93,100,75,,100,100,94,98,100,90,,67,55,91,65,,83,,100,100,85,79,95,79,100,,100,100,93,100,,96,96,53,63,100,95,,,99,85,53,99,100,79,64,,,92,100,,100,40,69,99,97,51,100,95,,43,99,,92,94,94,100,71,98,100,80,44,72,85,95,85,100,,,100,,82,44,55,100,,,98,100,85,89,84,92,39,80,82,90,,,99,,100,,87,95,66,,,99,95,,,,94,,82,,67,99,,,,49,100,100,100,70,24,,88,,100,83,61,91,,57,100,100,88,,63,54,94,58,57,95,100,,92,92,95,84,100,95,62,97,100,100,99,98,,88,,80,92,90,,,82,,,,58,,56,80
2004,,38,,96,86,,100,47,60,91,96,95,100,100,100,77,96,,80,100,100,100,91,69,,90,83,98,96,95,98,,100,68,72,52,70,100,85,94,65,47,,96,85,,,92,94,44,71,95,96,79,99,92,100,100,,100,85,95,87,,91,97,85,51,60,,98,35,,,95,100,100,84,100,86,86,94,100,77,,100,100,94,98,100,90,,68,56,91,65,,84,,100,100,85,79,95,80,100,,100,100,93,100,,97,96,54,63,99,96,,,99,86,55,99,100,79,65,,,92,100,,100,41,71,99,97,53,100,95,,44,99,,93,94,94,100,73,98,100,80,44,74,87,93,86,100,,,100,,82,45,56,100,,,98,100,86,89,85,92,39,82,82,90,,,99,,100,,88,96,66,,,99,96,,,,94,,84,,68,99,,,,50,100,100,100,70,25,,89,,100,84,60,90,,59,100,100,88,,63,54,94,60,57,95,100,,93,93,96,84,100,96,63,98,100,100,99,100,,88,,81,92,89,,,84,,,,57,,57,80
2005,,42,,96,85,,100,48,,,96,95,100,100,100,77,,,81,100,100,100,93,70,,91,84,98,96,96,98,,100,70,72,54,71,100,85,95,65,48,,96,87,,,92,95,44,71,95,96,79,99,92,100,100,,100,86,95,87,,92,98,86,51,60,,98,37,,,97,100,100,,100,86,87,96,100,79,,100,100,,,100,91,,69,57,92,66,,85,,100,100,86,80,94,80,100,,100,100,93,100,,97,96,55,63,99,96,,,99,87,57,99,100,78,67,,,92,100,,100,42,73,100,97,55,100,94,,45,99,,93,94,94,100,75,98,100,80,45,75,88,92,86,100,,,100,,83,46,57,100,,,98,100,86,90,85,93,40,83,83,90,,,99,,100,,89,96,66,,,99,96,,,,94,,85,,68,99,,,,51,100,100,100,70,26,,89,,100,86,60,91,,61,100,100,88,,63,54,94,62,58,96,100,,93,94,97,84,100,96,65,98,100,100,99,100,,88,,83,92,88,,,86,,,,57,,58,80
2006,,46,,96,85,,100,49,,,96,96,100,100,100,78,,,81,100,100,100,94,71,,92,84,99,96,96,98,,100,71,72,56,73,100,86,95,66,49,,96,87,,,92,95,45,71,95,96,79,99,93,100,100,,100,87,95,86,,94,98,86,51,60,,98,39,,,98,100,100,,100,87,88,97,100,80,,100,100,,,100,91,,70,59,92,67,,85,,100,100,88,80,95,79,100,,100,100,93,100,,97,96,56,63,99,96,,,99,88,59,99,100,78,68,,,92,100,,100,43,75,100,97,57,100,94,,46,99,,94,94,95,100,77,98,100,81,45,77,89,91,86,100,,,100,,83,47,56,100,,,98,100,87,90,85,93,40,86,83,91,,,99,,100,,89,97,66,,,99,96,,,,94,,86,,69,99,,,,51,100,100,100,,27,,90,,100,87,59,91,,63,100,100,89,,63,54,95,63,58,96,100,,94,94,97,84,100,96,66,97,100,100,99,100,,88,,84,93,87,,,88,,,,56,,58,79
2007,,50,,95,84,,100,50,,,97,96,100,100,100,79,,,81,100,100,100,95,72,,93,85,99,96,97,98,,100,73,72,58,74,100,86,95,66,49,,96,89,,,92,95,45,71,95,96,79,99,94,100,100,,100,88,95,86,,94,98,87,,60,,98,41,,,98,100,100,,100,87,88,98,100,81,,100,100,,,100,92,,71,60,92,67,,86,,100,100,89,80,95,79,100,,100,100,93,100,,97,95,56,,99,97,,,99,89,61,99,100,78,70,,,92,100,,100,44,77,100,97,59,100,94,,47,99,,94,,95,100,80,98,100,81,46,78,91,90,87,100,,,100,,84,47,57,100,,,98,100,87,90,86,93,40,86,83,91,,,99,,100,,89,97,66,,,99,96,,,,94,,87,,70,99,,,,52,100,100,99,,28,,90,,100,89,59,92,,65,100,100,89,,63,53,96,64,59,97,100,,94,94,98,,100,97,68,97,100,100,99,100,,87,,86,93,86,,,90,,,,55,,59,80
2008,,50,,96,83,,100,50,,,,97,100,100,100,80,,,81,100,100,100,96,73,,94,86,99,96,97,98,,100,75,72,60,75,100,87,95,67,50,,96,89,,,92,95,45,71,,97,79,99,94,100,100,,100,88,,86,,94,99,87,,61,,98,42,,,98,100,100,,100,87,89,98,100,82,,100,100,,,100,92,,72,62,93,68,,87,,100,100,90,81,95,79,100,,100,100,93,100,,97,95,57,,99,98,,,99,90,63,99,100,79,71,,,92,100,,100,45,79,100,98,60,100,94,,49,99,,94,,95,100,81,98,100,82,47,80,92,89,88,100,,,100,,85,49,58,100,,,98,100,88,91,85,93,40,86,84,92,,,99,,100,,89,97,66,,,99,96,,,,95,,89,,70,99,,,,53,100,100,99,,28,,91,,100,89,59,92,,66,100,100,89,,63,53,96,66,60,97,100,,94,94,99,,100,97,69,98,100,100,99,100,,87,,86,,85,,,92,,,,55,,60,80
2009,,50,,95,83,,100,51,,,,98,100,100,100,80,,,81,100,100,100,97,74,,95,87,99,96,97,98,,100,77,72,62,77,100,87,96,67,51,,96,90,,,92,95,45,71,,97,79,99,94,100,100,,100,88,,86,,94,99,87,,,,98,44,,,98,100,100,,100,87,89,98,100,84,,100,100,,,100,92,,74,63,93,68,,87,,100,100,91,81,96,79,100,,100,100,93,100,,97,95,58,,98,98,,,99,90,64,99,100,78,72,,,92,100,,100,46,80,100,98,63,100,94,,50,99,,95,,96,100,82,98,100,82,47,81,93,88,89,100,,,100,,85,49,58,100,,,98,100,89,91,85,93,40,86,85,92,,,99,,100,,,97,66,,,99,96,,,,95,,89,,71,99,,,,54,100,100,99,,29,,91,,100,91,58,92,,68,100,100,89,,64,53,96,67,61,97,100,,94,94,99,,100,97,71,98,100,100,99,100,,87,,88,,85,,,93,,,,55,,61,80
2010,,50,,95,83,,100,51,,,,98,100,100,100,80,,,81,100,100,100,98,75,,96,88,99,96,98,98,,100,79,72,64,77,100,88,96,67,51,,96,91,,,92,95,45,71,,97,80,99,94,100,100,,100,88,,86,,94,99,88,,,,98,44,,,98,100,100,,100,87,89,98,100,86,,100,100,,,100,92,,74,64,94,69,,87,,100,100,92,82,96,79,100,,100,100,93,100,,97,95,59,,98,98,,,99,90,67,99,100,78,73,,,,100,,100,46,83,100,98,64,100,94,,50,99,,96,,96,100,82,98,100,83,47,83,93,88,89,100,,,100,,85,49,58,100,,,98,100,89,92,85,,40,86,85,92,,,99,,100,,,97,65,,,99,96,,,,96,,89,,72,99,,,,55,100,100,99,,29,,91,,100,91,58,92,,71,100,100,90,,64,53,96,69,61,97,100,,94,,100,,100,98,72,98,100,100,99,100,,87,,90,,85,,,95,,,,55,,61,80
