GDP,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cook Is,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Is (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,"United Korea (former)
",Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Ngorno-Karabakh,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,St. Barthélemy,St. Helena,St. Kitts and Nevis,St. Lucia,St. Martin,St. Vincent and the Grenadines,St.-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),North Yemen (former),South Yemen (former),Yemen,Yugoslavia,Zambia,Zimbabwe,Åland,South Sudan
1990,,1028,,4350,10113,,28417,4232,,17154,8539,3736,37014,28604,31053,8513,24281,35398,1274,12992,8084,30798,5166,1362,40553,2332,3740,2974,8075,10331,,77076,9333,821,1051,996,2768,31163,1609,58535,944,1111,,9193,1516,,,7752,1595,1270,5264,,7333,3234,17890,13670,23802,19839,,33256,3050,6661,5278,,7542,6020,4454,1050,850,,13260,653,,,5694,28599,29476,,,19358,1517,8018,31476,1920,,21085,17371,7488,,,5315,,1128,1564,3231,2242,,3205,26974,16930,28666,1777,4548,9511,11212,22468,,17152,30746,7391,29550,,7057,12729,2376,1453,2076,12087,,15393,37521,3475,1622,13383,7734,1301,503,26928,,17041,56922,36984,9563,1661,540,10159,4363,1100,16596,2950,,2800,7568,,12479,2763,6440,43173,5122,16136,,3901,462,1775,5717,30647,1240,32534,,,24021,,3025,924,3030,,,,,43296,35076,2961,16913,7463,1607,5985,5280,4010,,10088,20282,25275,73402,,11449,19349,856,,,14258,7979,,5726,,3649,34215,2254,35681,1856,14457,,,14116,1334,34316,14366,19147,1793,930,,10364,,24126,3340,1753,10625,,4844,30901,46600,3809,20432,3635,1471,6369,1046,1350,,3572,,13464,5502,10670,8353,10751,2369,767,10490,114832,26424,37062,9841,,3032,,2550,14539,2264,,,1501,,,,3441,,2407,2532,,2013
1991,,1022,,3081,9748,,28029,4056,,17361,9333,3329,38310,28122,31802,8323,22841,38315,1287,12573,7983,31247,5594,1370,39322,2326,3845,2613,8430,10315,,77275,8630,872,1075,1055,2586,30090,1597,56634,918,1169,,9747,1634,,,7776,1473,1120,5249,,7337,3128,14020,12113,23366,17577,,33601,2811,6709,5222,,7685,5974,4545,1005,939,,12008,585,,,5488,26761,29707,,,19995,1510,6282,32844,1965,,21528,17295,7646,,,5383,,1097,1607,3432,2208,,3219,28277,14926,28272,1760,4868,10502,3921,22770,,17394,31198,7697,30437,,6426,11258,2332,1365,1973,13130,,10929,18820,3150,1644,11735,10497,1326,439,30431,,16038,61019,37340,8995,1510,575,10832,4555,1095,17459,2881,,2772,7819,,12738,2894,5395,43365,4606,14269,,4119,473,1741,5970,24303,1287,33066,,,22636,,2948,918,2936,,,,,44419,35728,3026,15886,7997,1717,6037,5290,3891,,9347,21216,25311,70806,,10059,18332,863,,,14253,8077,,5745,,3539,34302,2235,37688,1846,13278,,,14351,1361,35583,12223,17370,1847,921,,10049,,24684,3442,1830,10759,,4793,30340,45599,3991,21996,3302,1453,6841,1121,1306,,3795,,13735,5604,10568,7748,11226,2441,782,9588,109658,26017,36543,10118,,2953,,2557,15577,2027,,,1562,,,,3482,,2348,2604,,2089
1992,,941,,2877,9693,,27218,3656,,17226,10130,1973,38238,27895,32113,6346,21555,39854,1327,11911,7201,31596,6154,1359,39584,2463,3817,1970,8436,10104,,78688,8089,851,1062,1096,2434,29977,1728,55811,839,1223,,10744,1845,,,8014,1561,963,5248,,7816,3019,12269,10637,24891,17470,,34152,2736,6833,5657,,7672,6134,4811,1310,1040,,10523,516,,,5751,25726,30033,,,18868,1513,3435,33221,1985,,21442,16391,7565,,,5514,,1068,1588,3703,1873,,3308,29789,14474,26977,1821,5131,10792,5048,23371,,17749,31437,7792,30610,,7242,10669,2239,1388,1745,13744,,7666,50924,2681,1686,8057,10699,1395,290,28944,,12629,61310,41375,8454,1482,527,11491,4699,1159,18100,3030,,2745,8219,,12925,2933,3822,43703,4132,10808,,3930,435,1784,6198,19946,1306,33377,,,22651,,2888,830,2875,,,,,45742,37147,3174,14474,8476,1907,5988,5160,3813,,9553,21464,26169,77977,,9253,15661,973,,,14600,8536,,6166,,3500,34112,2207,38237,1813,9531,,,15185,1109,36978,11364,16351,2024,813,,9631,,24831,3561,1892,10588,,4835,29813,45080,4399,23207,2300,1413,7333,1195,1223,,3800,,13426,5920,10920,6402,11612,2496,781,8633,107416,26062,37321,10841,,2561,,2548,16143,2386,,,1667,,,,3578,,2253,2316,,2137
1993,,810,,3172,9279,,26011,2663,,17753,10602,1842,38477,28732,32017,4806,21222,43894,1360,11995,6639,31170,6424,1386,40557,2557,3887,1466,8368,10413,,76750,8033,857,975,1004,2177,30424,1827,55971,821,999,,11287,2078,,,8052,1569,801,5062,,8196,2918,11182,9001,24467,17462,,34008,2505,6926,5949,,7652,6212,5086,1406,1175,,9870,564,,,5792,25414,29719,,,19101,1515,2410,32689,2024,,20906,15569,7283,,,5598,,1059,1585,4001,1799,,3423,31097,14407,27055,1871,5412,10500,6379,23881,,18244,31149,8463,30587,,7242,9751,2177,1418,1619,14466,,5429,69683,2266,1736,7792,11136,1413,197,27251,,10615,63033,42708,7878,1468,576,12309,4850,1106,18732,3169,,2824,8535,,13172,3094,3780,43063,3966,6780,,3825,455,1809,5921,16430,1321,33562,,,23830,,2807,814,2863,,,,,46765,37882,3148,12343,8757,2198,6132,5329,3804,,9884,21000,26949,76440,,9406,14320,965,,,15395,8655,,6170,,3608,36612,2190,37182,1782,6622,,,15893,1135,40213,11536,16748,2045,817,,9546,,24498,3759,1918,9690,,4887,29028,44615,4498,24595,1891,1384,7882,1273,1014,,3937,,13158,5991,11569,6320,12229,2586,818,7401,103224,26688,37844,11048,,2446,,2494,15829,2521,,,1770,,,,3536,,2351,2292,,2141
1994,,725,,3457,9006,,25907,2669,,18400,11108,1988,39318,29580,32660,3808,21516,42712,1383,12437,5869,32077,6310,1364,40518,2723,3975,1574,8449,10802,,77038,8207,845,921,1058,2160,31505,2120,56412,841,1066,,11725,2323,,,8366,1451,742,4659,,8378,2851,11764,9018,25380,17964,,35766,2440,7009,5973,,7805,6360,5318,1586,1416,,9870,562,,,6002,26301,30303,,,19298,1475,2181,33375,2036,,21147,16500,7401,,,5691,,1046,1599,4331,1621,,3293,32240,14852,27789,1959,5727,10344,6420,25156,,19010,31813,8514,30746,,7312,8647,2168,1468,1605,15577,,5166,75577,1812,1828,8081,11729,1461,153,27202,,9599,64557,43778,7779,1422,514,13107,5037,1087,19616,3321,,2660,8764,,13516,3016,2620,43791,4020,6788,,4197,468,1839,5850,15564,1393,34348,,,24716,,2833,818,2817,,,,,48850,38131,3183,12882,8823,2270,6306,5875,3882,,10386,21146,27764,76944,,9794,12535,509,,,15979,8677,,5983,,3483,38698,2196,36526,1731,6786,,,15507,1124,43231,12204,17576,2171,644,,9643,,25015,3915,1879,9873,,4909,30000,44823,4693,26091,1465,1362,8529,1365,1138,,4125,,13562,6031,10857,5094,13055,2839,842,5732,104855,27691,38892,11766,,2274,,2647,15124,2722,,,1895,,,,3598,,2098,2456,,2125
1995,,872,,3941,9168,,26143,2859,,17167,10673,2169,38602,30359,33480,3320,22119,43244,1424,12587,5275,32774,6209,1398,41999,2930,4068,1976,8823,11108,,78406,8479,869,835,1091,2188,32101,2361,56588,881,1044,,12759,2551,,,8643,1467,724,4715,,8495,2964,12543,9195,26445,19093,,36670,2315,7148,6188,,7811,6553,5589,1803,1438,,10464,578,,,6073,27303,30823,,,19738,1448,2298,33843,2066,,21426,17117,7522,,,5836,,1049,1632,4533,1672,,3344,32358,15095,27671,2069,6111,10477,6353,27439,,22550,32731,8644,31224,,7516,8079,2199,1434,1442,16798,,5403,82268,1696,1908,8110,12254,1466,142,23363,,10115,64568,44465,7700,1402,593,14035,5264,1126,20720,3562,,2838,9062,,12491,3185,2596,44514,4244,7635,,3870,465,1868,5900,14177,1405,35244,,,25476,,2934,811,2740,,,,,50616,39194,3255,13913,8795,2139,6582,6198,3973,,11093,21975,28629,77809,,10516,12013,695,,,16362,8854,,6044,,3686,41846,2197,35870,1774,7167,,,15097,1041,44884,12879,18240,2284,637,,9730,,25645,4075,1934,9848,,5043,31044,44738,4894,27307,1266,1369,9239,1477,1198,,4269,,14046,6055,11530,4623,13317,2686,910,5073,106425,28317,39476,11513,,2213,,2610,15390,2788,,,2042,,,,3644,,2106,2416,,2132
1996,,895,,4326,9375,,27180,3091,,17830,11150,2333,38003,31145,34237,3329,22758,43781,1457,12783,5441,33217,6137,1414,42817,3072,4152,3771,9121,11178,,78661,8659,938,758,1117,2233,32290,2568,56861,827,1032,,13498,2775,,,8664,1413,698,4782,,8357,3103,13797,9871,26450,19934,,37521,2181,7359,6514,,7781,6774,5626,2907,1542,,11245,630,,,6291,28210,31141,,,19933,1439,2621,34008,2110,,21905,17372,7785,,,5873,,1061,1781,4872,1710,,3385,32272,15126,28839,2186,6478,11043,6834,29695,,23240,33143,8531,31958,,7443,8243,2227,1500,1393,17835,,5762,82811,1790,1993,8408,12726,1520,151,23533,,10606,64660,43547,7759,1388,625,15051,5602,1132,21373,3172,,2916,9471,,12979,3063,2466,44836,4304,9559,,4325,485,1895,5906,12418,1443,36152,,,25984,,3057,809,2805,,,,,52892,39990,3324,14978,8857,2245,6536,6260,4112,,11776,22658,29129,79461,,10969,11597,749,,,17231,9213,,6127,,3925,43518,2186,36531,1764,7348,,,15609,1061,46342,13720,18894,2257,648,,9925,,26270,4184,1992,9839,,5125,31465,44809,5246,28866,1040,1392,9689,1644,1272,,4256,,14561,6393,12190,4841,13962,2515,961,4606,106923,28998,40501,12068,,2208,,2615,15044,2860,,,2197,,,,3676,,2180,2619,,2183
1997,,921,,3909,9322,,29729,3246,,18186,11935,2438,40312,32013,34952,3488,22971,43798,1492,13564,6087,34377,6177,1451,44514,3184,4264,4996,9637,11382,,75654,8617,970,737,1148,2289,33310,2794,57445,852,1054,,14186,3000,,,8804,1434,645,4618,,8603,3131,14463,10106,26704,19821,,38584,2127,7510,6918,,7951,7036,5817,7037,1623,,12709,630,,,6087,29884,31756,,,20545,1468,2951,34578,2148,,22739,17613,8117,,,5992,,1089,1855,5153,1726,,3475,33636,15667,30009,2235,6683,11216,8027,32568,,23544,33733,8354,32391,,7481,8517,2179,1559,1230,18687,,6137,82227,1939,2084,9238,12347,1563,289,22977,,11360,67646,42700,7805,1394,633,15749,6120,1178,22344,2950,,2717,9885,,13634,2873,2515,45690,4435,9978,,4177,520,1919,5971,10988,1478,37414,,,26152,,3117,802,2813,,,,,55386,42370,3270,14961,9237,2101,6665,6551,4230,,12602,23555,29770,100111,,10329,11779,781,,,18190,9125,,6945,,3929,44268,2164,37060,1774,7899,,,17272,996,48528,14525,19887,2163,613,,9952,,27167,4396,2142,10263,,5167,32360,45734,5385,30613,1045,1405,9454,1741,1418,,4235,,14928,6649,12911,4221,14440,2757,979,4509,109553,29662,41812,13007,,2280,,2693,15680,3392,,,2339,,,,3746,,2203,2645,,2338
1998,,947,,4434,9646,,30819,3376,,18483,12268,2636,42565,33085,36157,3801,23799,44399,1538,14081,6630,34992,6220,1466,45912,3292,4384,5609,9507,11250,,73498,8976,1012,763,1176,2338,34389,3082,58314,873,1090,,14450,3205,,,8701,1416,622,4657,,9095,3202,14965,10086,27721,19777,,39297,2092,7936,7283,,8045,7207,5994,8437,1603,,13705,591,,,6108,31423,32764,,,20729,1477,3072,35254,2199,,23535,18955,8633,,,6149,,1107,1305,5041,1733,,3500,31394,16365,31601,2332,5721,11311,10490,34985,,24009,34269,8086,31656,,7503,8500,2194,1702,1267,17493,,5604,80971,1950,2123,9912,12703,1572,346,22502,,12200,71147,40077,7983,1404,639,14231,6564,1217,23347,2854,,2711,10375,,14033,2966,2353,47144,4544,10482,,4448,562,1944,5991,9952,1487,38816,,,26077,,3175,854,2818,,,,,56502,43621,3266,14930,9713,1969,6527,6418,4115,,13225,24560,31597,107276,,9855,11173,768,,,18189,9574,,7310,,3997,47258,2174,37671,1834,8121,,,18361,1006,45863,15085,20585,2142,607,,9770,,28238,4550,2175,10283,,5189,33709,46942,5620,31879,1086,1421,8363,1738,1351,,4331,,16064,6879,13008,4460,15429,3172,996,4463,104107,30614,43166,13508,,2340,,2761,15416,4163,,,2437,,,,3857,,2136,2680,,2407
1999,,972,,4912,9810,,31940,3389,,18780,11722,2740,42564,34346,37382,4047,25193,44619,1579,14400,6879,36209,6568,1500,47200,3459,4312,5965,10228,11139,,74041,8516,1057,744,1285,2369,35810,3363,58007,887,1045,,14159,3419,,,8194,1407,583,4413,,9610,3178,14652,10674,28698,20082,,40321,2103,8035,7649,,7511,7528,6165,10273,1550,,13723,604,,,6594,32743,33707,,,18413,1527,3185,35931,2244,,24152,19182,9489,,,6239,,1130,1289,5166,1748,,3362,31875,16943,32521,2496,5684,11327,11958,38122,,24263,34798,8115,31535,,7566,8813,2187,1676,1377,19233,,4353,75316,1991,2237,10208,12475,1563,397,22235,,12002,76102,38504,8242,1424,640,14748,6950,1265,24330,2777,,2834,10512,,14177,3018,2276,48523,4643,9506,,4414,592,1998,6035,9308,1517,40306,,,27371,,3342,819,2761,,,,,57246,43544,3303,13859,9889,1953,6303,6411,4151,,13824,25371,32088,107741,,9752,11925,754,,,18904,9673,,7635,,4066,51019,2186,36746,1904,7161,,,18341,969,48271,15039,21655,2074,605,,9766,,29353,4677,2183,10054,,5243,35208,47486,5291,32852,1111,1454,8633,1132,1349,,4478,,16739,7201,12381,5132,16100,3109,1043,4496,101940,31474,44673,13177,,2414,,2720,14216,4788,,,2515,,,,3892,,2176,2625,,2518
2000,,962,,5305,9885,,31662,3387,,19319,11504,2919,43703,35253,38548,4459,25858,45063,1632,14677,7300,37404,7215,1525,51140,3596,4330,6158,10250,11461,,74475,9075,1046,723,1368,2404,37314,3772,56574,848,998,,14614,3678,,,8414,1391,531,4623,,9564,3049,15644,11268,30005,21003,,41693,2079,8091,7955,,7444,7807,6266,11768,1446,,14877,623,,,6444,34517,34774,,,17630,1564,3269,36953,2273,,25030,20499,9650,,,6313,,1139,1330,5071,1734,,3483,34017,17707,33599,2548,5878,11719,11764,41198,,25739,36073,8139,32193,,7695,9706,2143,1804,1287,20757,,4648,75219,2075,2327,10859,12335,1629,473,22682,,12484,81425,40091,8543,1446,632,15695,7134,1269,25841,2936,,2738,11349,,14704,3167,2329,50200,4655,9803,,4430,583,2069,6111,8671,1577,41771,,,27963,,3424,778,2836,,,,,58699,45472,3366,12894,9954,1856,6031,6485,4243,,14565,26147,32484,112238,,9970,13173,764,,,19086,9980,,7571,,4326,51350,2157,37531,1916,7741,,,18453,1006,51663,15242,22488,1731,603,,9927,,30647,4946,2258,9908,,5257,36816,49083,5188,34205,1186,1488,8939,1322,1305,,4605,,17721,7464,13025,5351,16099,3064,1042,4809,108048,32543,45986,12876,,2471,,2823,14461,4206,,,2650,,,,4017,,2202,2521,,2684
